"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA050 Sex differences: gathering,Code: EA050 Sex differences: gathering,Description: EA050 Sex differences: gathering,Comment: EA050 Sex differences: gathering,Subcase: EA050 Sex differences: gathering,References: EA050 Sex differences: gathering,Focal Year: EA052 Sex Differences: fishing,Code: EA052 Sex Differences: fishing,Description: EA052 Sex Differences: fishing,Comment: EA052 Sex Differences: fishing,Subcase: EA052 Sex Differences: fishing,References: EA052 Sex Differences: fishing,Focal Year: EA054 Sex differences: agriculture,Code: EA054 Sex differences: agriculture,Description: EA054 Sex differences: agriculture,Comment: EA054 Sex differences: agriculture,Subcase: EA054 Sex differences: agriculture,References: EA054 Sex differences: agriculture,Focal Year: EA051 Sex differences: hunting,Code: EA051 Sex differences: hunting,Description: EA051 Sex differences: hunting,Comment: EA051 Sex differences: hunting,Subcase: EA051 Sex differences: hunting,References: EA051 Sex differences: hunting
Ethnographic Atlas,Ifaluk,If4,xd835,Ifuluk (If4),7.25,144.46,7.0,147.0,nucl1479,Nuclear Woleaian,,Austronesian,1940,6,"Females alone perform the activity, male participation being negligible",,with special reference to the inhabitants of Ifaluk atoll,Spiro(1949); Burrows and Spiro(1953); Damm(1938); Burrows(1949); ,1940,2,"Both sexes participate, but males do appreciably more than females",,with special reference to the inhabitants of Ifaluk atoll,Spiro(1949); Burrows and Spiro(1953); Damm(1938); Burrows(1949); ,1940,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with special reference to the inhabitants of Ifaluk atoll,Spiro(1949); Burrows and Spiro(1953); Damm(1938); Burrows(1949); ,1940,9,The activity is absent or unimportant in the particular society,,with special reference to the inhabitants of Ifaluk atoll,Spiro(1949); Burrows and Spiro(1953); Damm(1938); Burrows(1949); 
Ethnographic Atlas,Adangme,Af35,xd214,Adangme (Af35),6.0,0.0,6.0,0.0,adan1247,Adangme,ada,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Baboa,Ae7,xd183,Babwa (Ae7),3.0,25.0,3.0,25.0,kwaa1265,Kwa',bko,Atlantic-Congo,,NA,Missing data,,,,1910,5,"Both sexes participate, but females do appreciably more than males",,,Halkin(1911); Czekanowski(1924b); Hutereau(1909); Vedy(1904); ,1910,5,"Both sexes participate, but females do appreciably more than males",,,Halkin(1911); Czekanowski(1924b); Hutereau(1909); Vedy(1904); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Halkin(1911); Czekanowski(1924b); Hutereau(1909); Vedy(1904); 
Ethnographic Atlas,Diula,Ag27,xd263,Diula (Ag27),9.0,-4.0,9.0,-4.0,dyul1238,Dyula,dyu,Mande,,NA,Missing data,,,,1910,9,The activity is absent or unimportant in the particular society,,,Tauxier(1921); Tauxier(1912); ,1910,2,"Both sexes participate, but males do appreciably more than females",,,Tauxier(1921); Tauxier(1912); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Tauxier(1921); Tauxier(1912); 
Ethnographic Atlas,Alacaluf,Sg5,xd1387,Alacaluf (Sg5),-52.0,-74.0,-52.0,-74.0,qawa1238,Qawasqar,alc,Kawesqar,,NA,Missing data,,,,1900,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with special reference to the southern bands,Bird(1946); Cooper(1917); ,1900,9,The activity is absent or unimportant in the particular society,,with special reference to the southern bands,Bird(1946); Cooper(1917); ,1900,1,"Males alone perform the activity, female participation being negligible",,with special reference to the southern bands,Bird(1946); Cooper(1917); 
Ethnographic Atlas,Antandroy,Eh7,xd693,Antandroy (Eh7),-25.0,46.0,-25.0,46.0,tand1256,Tandroy-Mahafaly Malagasy,tdx,Austronesian,,NA,Missing data,,,,1900,5,"Both sexes participate, but females do appreciably more than males",,,McLeod(1964); Rajohnson(1908); Decary(1930-33); ,1900,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,McLeod(1964); Rajohnson(1908); Decary(1930-33); ,1900,1,"Males alone perform the activity, female participation being negligible",,,McLeod(1964); Rajohnson(1908); Decary(1930-33); 
Ethnographic Atlas,Duruma,Ad31,xd100,Duruma (Ad31),-4.0,39.0,-4.0,39.0,duru1249,Duruma,dug,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,1910,5,"Both sexes participate, but females do appreciably more than males",,,Prins(1952); Werner(1915); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Prins(1952); Werner(1915); 
Ethnographic Atlas,Hamyan,Cd14,xd512,Hamyan (Cd14),35.0,2.0,35.0,2.0,oran1236,Oran,,Afro-Asiatic,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Rundi,Ae8,xd184,Rundi (Ae8),-3.0,30.0,-3.0,30.0,rund1242,Rundi,run,Atlantic-Congo,1910,9,The activity is absent or unimportant in the particular society,,,D'Hertefelt et al.(1962); Simons(1944); Delacauw(1936); Meyer(1916); Bourgeois(1954); Van der Burgt(1903); ,1910,1,"Males alone perform the activity, female participation being negligible",,,D'Hertefelt et al.(1962); Simons(1944); Delacauw(1936); Meyer(1916); Bourgeois(1954); Van der Burgt(1903); ,1910,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,D'Hertefelt et al.(1962); Simons(1944); Delacauw(1936); Meyer(1916); Bourgeois(1954); Van der Burgt(1903); ,1910,1,"Males alone perform the activity, female participation being negligible",,,D'Hertefelt et al.(1962); Simons(1944); Delacauw(1936); Meyer(1916); Bourgeois(1954); Van der Burgt(1903); 
Ethnographic Atlas,Tazarawa,Cb25,xd475,Tazarawa (Cb25),14.0,8.0,14.0,8.0,haus1257,Hausa,hau,Afro-Asiatic,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Yako,Af4,xd219,Yako (Af4),6.0,8.0,6.0,8.0,loka1252,Lokaa,yaz,Atlantic-Congo,1930,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Forde(1964); Forde(1952); Forde(1950); Forde(1941); Forde(1939); ,1930,9,The activity is absent or unimportant in the particular society,,,Forde(1964); Forde(1952); Forde(1950); Forde(1941); Forde(1939); ,1930,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Forde(1964); Forde(1952); Forde(1950); Forde(1941); Forde(1939); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Forde(1964); Forde(1952); Forde(1950); Forde(1941); Forde(1939); 
Ethnographic Atlas,Herero,Ab1,xd10,Herero (Ab1),-21.0,16.0,-21.0,16.0,here1253,Herero,her,Atlantic-Congo,1900,6,"Females alone perform the activity, male participation being negligible",,,Vedder(1928); Irle(1906); ,1900,9,The activity is absent or unimportant in the particular society,,,Vedder(1928); Irle(1906); ,1900,9,The activity is absent or unimportant in the particular society,,,Vedder(1928); Irle(1906); ,1900,1,"Males alone perform the activity, female participation being negligible",,,Vedder(1928); Irle(1906); 
Ethnographic Atlas,Coeur d’Alene,Nd14,xd1146,Coeur d’Alene (Nd14),48.0,-117.0,48.0,-117.0,coeu1236,Coeur d'Alene,crd,Salishan,1860,5,"Both sexes participate, but females do appreciably more than males",,,Ray(1942); Teit(1930); ,1860,2,"Both sexes participate, but males do appreciably more than females",,,Ray(1942); Teit(1930); ,1860,9,The activity is absent or unimportant in the particular society,,,Ray(1942); Teit(1930); ,1860,1,"Males alone perform the activity, female participation being negligible",,,Ray(1942); Teit(1930); 
Ethnographic Atlas,Kiwai,Ie13,xd789,Kiwai (Ie13),-9.0,143.0,-9.0,143.0,sout2949,Southern Kiwai,kjd,Kiwaian,1920,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Landtman(1927); ,1920,2,"Both sexes participate, but males do appreciably more than females",,,Landtman(1927); ,1920,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Landtman(1927); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Landtman(1927); 
Ethnographic Atlas,Bari,Aj8,xd413,Bari (Aj8),5.0,32.0,5.0,32.0,ligo1238,Ligo,,Nilotic,1920,9,The activity is absent or unimportant in the particular society,,,Seligman and Seligman(1928); Beaton(1936); Seligman and Seligman(1932); Owen(1908); Huntingford(1953a); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Seligman and Seligman(1928); Beaton(1936); Seligman and Seligman(1932); Owen(1908); Huntingford(1953a); ,1920,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Seligman and Seligman(1928); Beaton(1936); Seligman and Seligman(1932); Owen(1908); Huntingford(1953a); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Seligman and Seligman(1928); Beaton(1936); Seligman and Seligman(1932); Owen(1908); Huntingford(1953a); 
Ethnographic Atlas,Basseri,Ea6,xd605,Basseri (Ea6),30.0,34.0,30.0,34.0,bass1257,Basseri,,Indo-European,1958,6,"Females alone perform the activity, male participation being negligible",,Nomadic branch,Barth(1961); Barth(1964); ,1958,9,The activity is absent or unimportant in the particular society,,Nomadic branch,Barth(1961); Barth(1964); ,,NA,Missing data,,,,1958,1,"Males alone perform the activity, female participation being negligible",,Nomadic branch,Barth(1961); Barth(1964); 
Ethnographic Atlas,Abarambo,Ai27,xd356,Abarambo (Ai27),4.0,27.0,4.0,27.0,bara1361,Barambu,brm,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Chenchu,Eg1,xd672,Chenchu (Eg1),16.0,79.0,16.0,79.0,chen1255,Chenchu,cde,Dravidian,1940,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,with special reference to the forest group,Furer-Haimendorf(1943); ,1940,1,"Males alone perform the activity, female participation being negligible",,with special reference to the forest group,Furer-Haimendorf(1943); ,1940,1,"Males alone perform the activity, female participation being negligible",,with special reference to the forest group,Furer-Haimendorf(1943); ,1940,1,"Males alone perform the activity, female participation being negligible",,with special reference to the forest group,Furer-Haimendorf(1943); 
Ethnographic Atlas,Achumawi,Nc10,xd1108,Achomawi (Nc10),41.0,-121.0,41.0,-121.0,achu1247,Achumawi,acv,Palaihnihan,1860,6,"Females alone perform the activity, male participation being negligible",,,Goldman(1941); Goldman(1940); ,1860,2,"Both sexes participate, but males do appreciably more than females",,,Goldman(1941); Goldman(1940); ,1860,9,The activity is absent or unimportant in the particular society,,,Goldman(1941); Goldman(1940); ,1860,1,"Males alone perform the activity, female participation being negligible",,,Goldman(1941); Goldman(1940); 
Ethnographic Atlas,Gbande,Af54,xd235,Gbande (Af54),8.0,-10.0,8.0,-10.0,band1352,Bandi,bza,Mande,,NA,Missing data,,,,1930,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Schwab(1947); Germann(1933); ,1930,5,"Both sexes participate, but females do appreciably more than males",,,Schwab(1947); Germann(1933); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Schwab(1947); Germann(1933); 
Ethnographic Atlas,Kissi,Af2,xd197,Kissi (Af2),9.0,-10.0,9.0,-10.0,nort2765,Northern Kissi,kqs,Atlantic-Congo,1950,9,The activity is absent or unimportant in the particular society,,,Paulme(1954); Neel(1913); ,1950,2,"Both sexes participate, but males do appreciably more than females",,,Paulme(1954); Neel(1913); ,1950,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Paulme(1954); Neel(1913); ,1950,1,"Males alone perform the activity, female participation being negligible",,,Paulme(1954); Neel(1913); 
Ethnographic Atlas,Arusi,Ca11,xd417,Arusi (Ca11),8.0,40.0,8.0,40.0,bora1271,Borana-Arsi-Guji Oromo,gax,Afro-Asiatic,,NA,Missing data,,,,1890,9,The activity is absent or unimportant in the particular society,,,Huntingford(1955b); Paulitschke(1893-96b); ,1890,2,"Both sexes participate, but males do appreciably more than females",,,Huntingford(1955b); Paulitschke(1893-96b); ,1890,1,"Males alone perform the activity, female participation being negligible",,,Huntingford(1955b); Paulitschke(1893-96b); 
Ethnographic Atlas,Gola,Af55,xd236,Gola (Af55),7.0,-11.0,7.0,-11.0,gola1255,Gola,gol,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Kachari,Ee7,xd659,Kachari (Ee7),27.0,90.0,27.0,90.0,kach1279,Kachari,xac,Sino-Tibetan,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Kpe,Ae2,xd138,Kpe (Ae2),4.22,9.27,4.0,9.0,mokp1239,Mokpwe,bri,Atlantic-Congo,1950,2,"Both sexes participate, but males do appreciably more than females",,,Ardener(1956); Leuschner(1903); ,1950,6,"Females alone perform the activity, male participation being negligible",,,Ardener(1956); Leuschner(1903); ,1950,5,"Both sexes participate, but females do appreciably more than males",,,Ardener(1956); Leuschner(1903); ,1950,1,"Males alone perform the activity, female participation being negligible",,,Ardener(1956); Leuschner(1903); 
Ethnographic Atlas,Afikpo,Af23,xd201,Afikpo (Af23),6.0,8.0,6.0,8.0,afik1238,Afikpo,,Atlantic-Congo,,NA,Missing data,,,,1950,2,"Both sexes participate, but males do appreciably more than females",,with special reference to the village of Mgbom,Ottenberg(1965b); Ottenberg(1965a); Ottenberg(1960); ,1950,5,"Both sexes participate, but females do appreciably more than males",,with special reference to the village of Mgbom,Ottenberg(1965b); Ottenberg(1965a); Ottenberg(1960); ,,NA,Missing data,,,
Ethnographic Atlas,Lobi,Ag11,xd246,Lobi (Ag11),10.0,-4.0,10.0,-4.0,lobi1245,Lobi,lob,Atlantic-Congo,1910,6,"Females alone perform the activity, male participation being negligible",,,Haumant(1929); Charles(1911); Labouret(1931); ,1910,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Haumant(1929); Charles(1911); Labouret(1931); ,1910,2,"Both sexes participate, but males do appreciably more than females",,,Haumant(1929); Charles(1911); Labouret(1931); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Haumant(1929); Charles(1911); Labouret(1931); 
Ethnographic Atlas,Reshe,Ah15,xd304,Reshe (Ah15),11.0,5.0,11.0,5.0,resh1242,Reshe,res,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Males alone perform the activity, female participation being negligible",,,Gunn and Conant(1960); Harris(1930); ,1920,2,"Both sexes participate, but males do appreciably more than females",,,Gunn and Conant(1960); Harris(1930); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Gunn and Conant(1960); Harris(1930); 
Ethnographic Atlas,Turu,Ad26,xd94,Turu (Ad26),-5.0,34.0,-5.0,34.0,nyat1246,Nyaturu,rim,Atlantic-Congo,,NA,Missing data,,,,1910,9,The activity is absent or unimportant in the particular society,,,Sick(1916); ,1910,5,"Both sexes participate, but females do appreciably more than males",,,Sick(1916); ,,NA,Missing data,,,
Ethnographic Atlas,Gidjingali,Id11,xd774,Gidjingali (Id11),-12.29,134.32,-12.0,135.0,gunn1248,Gun-narda,,Maningrida,1950,6,"Females alone perform the activity, male participation being negligible",,,Hiatt(1965); ,1950,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Hiatt(1965); ,1950,9,The activity is absent or unimportant in the particular society,,,Hiatt(1965); ,1950,2,"Both sexes participate, but males do appreciably more than females",,,Hiatt(1965); 
Ethnographic Atlas,Muria Gond,Eg13,xd676,Muria Gond (Eg13),20.0,81.0,20.0,81.0,nort2702,Northern Gondi,gno,Dravidian,1941,5,"Both sexes participate, but females do appreciably more than males",,Bastar State,Elwin(1957); ,1941,1,"Males alone perform the activity, female participation being negligible",,Bastar State,Elwin(1957); ,1941,2,"Both sexes participate, but males do appreciably more than females",,Bastar State,Elwin(1957); ,1941,1,"Males alone perform the activity, female participation being negligible",,Bastar State,Elwin(1957); 
Ethnographic Atlas,Swazi,Ab2,xd21,Swazi (Ab2),-27.0,32.0,-27.0,32.0,swat1243,Swati,ssw,Atlantic-Congo,1880,6,"Females alone perform the activity, male participation being negligible",,,Kuper(1974); Kuper(1950); Marwick(1940); ,1880,9,The activity is absent or unimportant in the particular society,,,Kuper(1974); Kuper(1950); Marwick(1940); ,1880,5,"Both sexes participate, but females do appreciably more than males",,,Kuper(1974); Kuper(1950); Marwick(1940); ,1880,1,"Males alone perform the activity, female participation being negligible",,,Kuper(1974); Kuper(1950); Marwick(1940); 
Ethnographic Atlas,Maras,Ei4,xd710,Lakher (Ei4),22.0,93.0,22.0,93.0,mara1382,Mara Chin,mrh,Sino-Tibetan,1930,9,The activity is absent or unimportant in the particular society,,Lakher Tribe,Parry(1932); ,1930,1,"Males alone perform the activity, female participation being negligible",,Lakher Tribe,Parry(1932); ,1930,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,Lakher Tribe,Parry(1932); ,1930,1,"Males alone perform the activity, female participation being negligible",,Lakher Tribe,Parry(1932); 
Ethnographic Atlas,Sapo,Af49,xd229,Sapo (Af49),6.0,-9.0,6.0,-9.0,sapo1251,Sapo,krn,Atlantic-Congo,,NA,Missing data,,,,1940,2,"Both sexes participate, but males do appreciably more than females",,,Schwab(1947); ,1940,5,"Both sexes participate, but females do appreciably more than males",,,Schwab(1947); ,1940,1,"Males alone perform the activity, female participation being negligible",,,Schwab(1947); 
Ethnographic Atlas,Makin,If14,xd829,Makin (If14),3.38,172.99,3.0,173.0,bana1287,Banaban,,Austronesian,1890,9,The activity is absent or unimportant in the particular society,,Makin and Butiritari Islands (N),Finsch(1893); Grimble(1921); Lambert(1970b); Lambert(1970a); Lambert(1968); Lambert(1964); Lambert(1963); Kramer(1906); ,1890,2,"Both sexes participate, but males do appreciably more than females",,Makin and Butiritari Islands (N),Finsch(1893); Grimble(1921); Lambert(1970b); Lambert(1970a); Lambert(1968); Lambert(1964); Lambert(1963); Kramer(1906); ,1890,5,"Both sexes participate, but females do appreciably more than males",,Makin and Butiritari Islands (N),Finsch(1893); Grimble(1921); Lambert(1970b); Lambert(1970a); Lambert(1968); Lambert(1964); Lambert(1963); Kramer(1906); ,1890,1,"Males alone perform the activity, female participation being negligible",,Makin and Butiritari Islands (N),Finsch(1893); Grimble(1921); Lambert(1970b); Lambert(1970a); Lambert(1968); Lambert(1964); Lambert(1963); Kramer(1906); 
Ethnographic Atlas,Mari,Ch4,xd568,Cheremis (Ch4),43.0,46.0,43.0,46.0,east2328,Eastern Mari,mhr,Uralic,,NA,Missing data,,,,,NA,Missing data,,,,1900,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Wichmann(1913); Heffner(1955); ,1900,1,"Males alone perform the activity, female participation being negligible",,,Wichmann(1913); Heffner(1955); 
Ethnographic Atlas,Sotho,Ab8,xd31,Sotho (Ab8),-29.0,28.0,-29.0,28.0,sout2807,Southern Sotho,sot,Atlantic-Congo,1860,6,"Females alone perform the activity, male participation being negligible",,Basuto,Martin(1903); Mabille(1906); Sheddick(1953); Krige(1937); Dutton(1923); Casilis(1859); Ashton(1952); ,1860,9,The activity is absent or unimportant in the particular society,,Basuto,Martin(1903); Mabille(1906); Sheddick(1953); Krige(1937); Dutton(1923); Casilis(1859); Ashton(1952); ,1860,5,"Both sexes participate, but females do appreciably more than males",,Basuto,Martin(1903); Mabille(1906); Sheddick(1953); Krige(1937); Dutton(1923); Casilis(1859); Ashton(1952); ,1860,1,"Males alone perform the activity, female participation being negligible",,Basuto,Martin(1903); Mabille(1906); Sheddick(1953); Krige(1937); Dutton(1923); Casilis(1859); Ashton(1952); 
Ethnographic Atlas,Macha,Ca13,xd419,Macha (Ca13),9.0,37.0,9.0,37.0,west2721,West Central Oromo,gaz,Afro-Asiatic,,NA,Missing data,,,,1950,9,The activity is absent or unimportant in the particular society,,with special reference to the eastern Macha,Knutsson(1963); Huntingford(1955b); Knutsson(1967); ,1950,1,"Males alone perform the activity, female participation being negligible",,with special reference to the eastern Macha,Knutsson(1963); Huntingford(1955b); Knutsson(1967); ,1950,1,"Males alone perform the activity, female participation being negligible",,with special reference to the eastern Macha,Knutsson(1963); Huntingford(1955b); Knutsson(1967); 
Ethnographic Atlas,Guro,Af52,xd233,Guro (Af52),7.0,-6.0,7.0,-6.0,guro1248,Guro,goa,Mande,1920,6,"Females alone perform the activity, male participation being negligible",,,Tauxier(1924a); ,1920,6,"Females alone perform the activity, male participation being negligible",,,Tauxier(1924a); ,1920,5,"Both sexes participate, but females do appreciably more than males",,,Tauxier(1924a); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Tauxier(1924a); 
Ethnographic Atlas,Koranko,Ag24,xd260,Koranko (Ag24),9.0,-11.0,9.0,-11.0,kura1250,Kuranko,knk,Mande,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
